,x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,pitch_result,ump,pitcherid,catcherid,all_star,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,result_ball,result_strike,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_FT,pitch_type_SL
102,-2.8075263230000003,13.97974708,1553.913025,86.89928893,CH,L,-3.33,54.42,5.24,-8.75,3.36,6.085,R,ball,44,1,1,after,0,2,0,0,,,,1,0,0.0,1.0,0.0,0.0,0.0,0.0
103,6.393798366,-4.094531346,1577.482232,87.5709881,CH,L,-3.36,54.55,5.33,-8.83,2.99,5.952000000000001,R,ball,44,1,1,after,1,2,0,0,,,,1,0,0.0,1.0,0.0,0.0,0.0,0.0
104,13.77768532,2.519420731,2406.888918,87.17942228,SL,R,-3.47,54.62,5.2,0.47,2.42,5.879,R,ball,44,1,1,after,0,2,0,1,,,,1,0,0.0,0.0,0.0,0.0,0.0,1.0
105,-8.495008939,24.46588345,2795.380925,81.35956302,CB,L,-3.3,54.75,5.41,6.01,-4.24,5.752000000000001,R,called_strike,44,1,1,after,0,0,0,2,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
106,-5.69867463,36.26425167,2520.150042,95.29968868,FF,L,-3.23,54.68,5.55,-6.5,8.96,5.822,R,called_strike,6,1,1,after,0,0,0,0,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
107,-8.306030902,28.92108993,2493.505328,95.24878438,FF,L,-3.35,54.7,5.41,-7.97,9.04,5.803999999999999,R,called_strike,6,1,1,after,0,1,0,0,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
108,-1.296479621,8.388659878,1406.5795,85.88833852,CH,L,-3.38,54.68,5.37,-8.62,4.56,5.816,R,ball,6,1,1,after,0,2,0,0,,,,1,0,0.0,1.0,0.0,0.0,0.0,0.0
109,-2.7345585810000004,32.19576968,2411.692111,94.84115405,FF,L,-3.25,54.74,5.61,-9.0,7.67,5.7589999999999995,R,called_strike,6,1,1,after,0,0,0,1,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
110,-9.693056691,18.97104798,2716.780222,80.3714486,CB,L,-3.35,54.9,5.59,5.38,-3.37,5.596,R,called_strike,6,1,1,after,0,1,0,1,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
111,3.3712765439999997,26.48542137,2778.606183,79.94043784,CB,L,-3.13,54.85,5.67,5.45,-4.34,5.651,R,called_strike,6,1,1,after,0,0,0,2,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
112,-4.562190683,35.87750373,2670.208803,79.43231083,CB,L,-3.32,54.87,5.54,5.01,-0.94,5.627999999999999,R,called_strike,6,1,1,after,0,0,0,0,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
113,4.844562364,54.59993649,2479.095455,94.65797216,FF,L,-3.36,54.28,5.42,-6.8,9.1,6.2170000000000005,R,ball,6,1,1,after,0,1,1,1,,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0
114,-16.75433673,41.83344527,2559.284272,95.38884016,FF,L,-3.38,54.35,5.34,-9.65,6.12,6.151,R,ball,6,1,1,after,1,1,1,1,,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0
115,-17.49305378,34.32335874,2567.998783,78.77785458,CB,L,-3.28,54.7,5.52,3.55,-4.74,5.801,R,ball,6,1,1,after,0,1,2,2,,,,1,0,1.0,0.0,0.0,0.0,0.0,0.0
116,18.85487746,39.37378425,2442.5112050000002,95.8394104,FF,L,-3.28,54.29,5.21,-5.39,8.04,6.205,R,ball,6,1,1,after,1,2,2,2,,,,1,0,0.0,0.0,0.0,1.0,0.0,0.0
117,-6.16965548,25.42725887,2452.991741,94.37125493,FF,L,-3.39,54.63,5.35,-7.91,6.92,5.8660000000000005,R,called_strike,6,1,1,after,0,0,0,0,,,,0,1,0.0,0.0,0.0,1.0,0.0,0.0
118,-0.818427263,16.27227871,1516.846885,84.98185027,CH,L,-3.41,54.78,5.38,-9.28,4.11,5.718999999999999,R,ball,6,1,1,after,0,1,0,0,,,,1,0,0.0,1.0,0.0,0.0,0.0,0.0
119,-14.93858524,18.00862907,1629.444879,85.91104896,CH,L,-3.43,54.64,5.31,-9.58,5.22,5.86,R,ball,6,1,1,after,0,0,0,1,,,,1,0,0.0,1.0,0.0,0.0,0.0,0.0
120,-2.139065855,28.54847934,2815.8806809999996,80.57888888,CB,L,-3.28,54.87,5.47,6.14,-2.37,5.632999999999999,R,called_strike,6,1,1,after,1,1,0,1,,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0
121,20.66387212,8.781331717,2598.774863,90.26113032,CT,L,-3.26,54.48,5.28,-1.28,3.77,6.022,R,ball,6,1,1,after,1,2,0,1,,,,1,0,0.0,0.0,1.0,0.0,0.0,0.0
122,14.58353612,10.38099539,2500.520019,90.00805475,CT,L,-3.29,54.48,5.28,-0.92,4.05,6.019,R,ball,6,1,1,after,2,2,0,1,,,,1,0,0.0,0.0,1.0,0.0,0.0,0.0
123,14.68570023,48.14108798,2482.129652,89.02917743,SL,L,-3.38,54.62,5.29,-1.0,1.68,5.885,R,ball,6,1,1,after,0,1,1,0,,,,1,0,0.0,0.0,0.0,0.0,0.0,1.0
