,x,z,spin_rate,release_velo,pitch_type,bats,release_x,release_y,release_z,pfx_x,pfx_z,extension,throws,pitch_result,ump,pitcherid,catcherid,all_star,ball_count,strike_count,baserunner_count,out_count
0,-11.44582595,28.75227214,2419.7153550000003,97.9695686,FF,R,-1.2,53.47,5.55,-3.98,9.55,7.026,R,ball,25,3,8,before,0,1,0,0
1,7.932073886,0.661307737,1887.946516,92.86826061,CH,R,-1.1,53.36,5.49,-7.71,3.45,7.141,R,ball,25,3,8,before,0,0,0,2
400,8.44609661,10.18849397,2250.466468,95.49174668,FF,L,-1.45,53.74,5.59,-5.09,8.22,6.763,R,ball,14,3,10,before,0,0,0,0
401,-2.9158429569999997,22.84895165,2395.00674,96.28854809,FF,L,-1.52,53.91,5.64,-4.1,9.05,6.593999999999999,R,called_strike,14,3,10,before,1,1,0,0
402,9.297465671,27.21755412,2452.3406800000002,96.62000735,FF,L,-1.37,53.69,5.65,-4.02,10.21,6.807,R,called_strike,14,3,10,before,0,0,1,0
403,-2.8214845439999996,45.85105748,2488.9103760000003,97.40924341,FF,L,-1.27,53.79,5.64,-3.82,10.54,6.705,R,ball,14,3,10,before,0,1,1,0
404,-10.6453374,13.93353302,2765.747494,84.7833885,CB,L,-1.34,54.01,5.64,5.39,-0.14,6.492999999999999,R,ball,14,3,10,before,0,1,0,2
405,21.08482601,27.48263073,2503.220111,97.36144775,FF,L,-1.27,53.69,5.56,-3.09,10.45,6.806,R,ball,14,3,10,before,1,1,0,2
406,11.55692352,30.65001305,2518.8132,97.81006423,FF,R,-1.41,53.58,5.55,-4.6,9.37,6.9239999999999995,R,ball,14,3,10,before,0,2,0,0
407,9.250846883,23.26951222,2403.324955,97.76056264,FF,L,-1.46,53.33,5.47,-5.28,9.43,7.17,R,called_strike,14,3,10,before,0,0,0,2
408,12.60906973,10.48773965,2462.289209,92.47992622,SL,R,-1.46,53.46,5.7,2.15,4.4,7.042999999999999,R,ball,14,3,10,before,0,0,0,0
409,22.20119623,13.236932300000001,2615.156277,93.59998884,SL,R,-1.47,53.58,5.61,1.57,6.01,6.916,R,ball,14,3,10,before,1,1,0,0
410,3.802360345,54.32582462,2415.455984,97.06869820000001,FF,L,-1.39,53.42,5.6,-4.25,10.36,7.082000000000001,R,ball,14,3,10,before,0,0,0,1
411,3.001996764,25.21175995,1808.6887609999999,90.44049644,CH,L,-1.21,52.97,5.51,-8.14,0.67,7.532,R,called_strike,14,3,10,before,1,1,0,1
412,-0.216965345,26.78642057,2404.771695,97.60985318,FF,R,-1.34,53.79,5.61,-2.95,10.91,6.706,R,called_strike,14,3,10,before,0,0,0,2
