,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_CT,pitch_type_FF,pitch_type_SL
0,-19.25911329,16.53519562,1415.8464099999999,82.61381719,-3.6,54.34,5.08,-7.35,1.67,6.162000000000001,56,6,0,2,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-16.34453894,37.71292349,2632.156599,78.26817612,-3.29,55.03,5.74,5.93,-5.35,5.4670000000000005,33,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,26.06313993,23.03848827,2512.999534,90.73212052,-3.57,54.37,4.95,-2.78,5.89,6.13,49,1,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,-16.49726384,22.46517645,2467.796792,97.42860511,-3.35,54.02,5.2,-7.91,8.32,6.477,8,1,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,15.86574962,16.97925378,2357.44504,84.88023794,-3.58,54.67,5.22,0.91,0.48,5.832999999999999,33,1,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,-14.25615294,24.58791267,1469.436576,85.61748359999999,-3.33,54.14,5.28,-8.98,2.02,6.362,28,6,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,2.184857305,28.29787731,2464.101994,86.43067546,-3.63,54.54,5.13,-0.6,0.8,5.957999999999999,48,6,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,-16.36568736,21.88804069,2602.113845,94.80073267,-3.35,54.23,5.46,-7.87,9.75,6.273,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,21.79340718,37.72863855,2589.974169,93.26919513,-3.6,54.65,5.15,-8.46,7.78,5.852,21,6,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,17.78175663,17.06369019,2334.742772,85.33689294,-3.44,54.14,5.0,0.17,0.0,6.358,7,6,0,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10,2.6390022440000003,31.27156059,2526.0830899999996,94.51908262,-3.35,54.22,5.26,-5.78,9.29,6.284,28,6,1,1,2,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11,8.627745538,2.302804115,2547.8222379999997,84.89041123,-3.52,54.57,5.14,0.47,-0.33,5.934,9,6,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,-22.14002625,22.94072001,1576.906215,84.35008032,-3.63,54.78,5.27,-8.44,2.18,5.724,24,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,-26.32705192,14.83055224,2675.409581,95.35904595,-3.36,54.73,5.54,-7.51,9.73,5.769,40,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,-6.994865635,39.39613194,2723.30751,75.70874591,-3.57,54.97,5.3,5.94,-4.78,5.528,3,6,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,9.852961715,23.33855872,2306.0605149999997,94.7735747,-3.48,54.61,5.14,-5.01,7.09,5.891,33,6,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,-14.36288545,33.26370118,2698.664282,78.76029671,-3.39,54.65,5.41,5.47,-4.17,5.854,2,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,5.30635117,23.2571275,2377.630772,93.44156747,-3.51,54.58,5.41,-7.48,8.98,5.917999999999999,54,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,-10.82326636,24.98320419,2652.7334079999996,77.35656255,-3.39,54.81,5.42,5.43,-2.1,5.688,9,6,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,-10.73856207,34.22374535,2588.435097,96.6221346,-3.59,54.29,4.89,-6.72,8.21,6.21,20,6,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,12.27550977,25.57340246,2549.270368,96.18998994,-3.51,54.24,5.32,-7.02,8.8,6.2620000000000005,42,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,-15.65836432,37.83439533,2324.887914,84.6900926,-3.62,54.57,5.06,1.5,-0.92,5.933,4,6,0,1,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
22,-0.014834186999999999,26.53122354,2411.8861699999998,94.45970209,-3.45,54.58,5.4,-7.93,7.46,5.917000000000001,54,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,-11.86732179,37.10443193,2810.122241,76.74019436,-3.4,55.11,5.49,4.95,-2.74,5.393,3,6,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,9.660937588,41.05090952,2424.1985219999997,95.47887486,-3.44,54.84,5.59,-7.0,7.89,5.662000000000001,33,6,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
