,x,z,spin_rate,release_velo,release_x,release_y,release_z,pfx_x,pfx_z,extension,ump,catcherid,ball_count,strike_count,baserunner_count,out_count,baserunner_on_first,baserunner_on_second,baserunner_on_third,pitch_type_CB,pitch_type_CH,pitch_type_FF,pitch_type_FT,pitch_type_SL
0,2.090011895,6.308307398999999,1993.412876,89.22061740000001,-1.47,53.82,5.61,-11.93,2.79,6.683,40,5,2,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,15.03821147,33.96037021,2554.103499,91.94123496,-1.16,53.85,5.76,-0.06,3.89,6.651,11,4,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,-17.48191296,30.56420011,2343.6757989999996,97.22217533,-1.07,53.88,5.66,-4.93,9.26,6.6160000000000005,49,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,7.487821789,23.80722139,2401.364866,99.12886873,-1.03,53.77,5.36,-4.42,9.55,6.726,43,10,2,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,5.391182736,-2.867064169,1641.702734,91.48923201,-1.47,52.9,5.6,-8.88,4.99,7.596,46,10,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,-8.665122164,44.60658858,2442.6871969999997,92.39321405,-1.65,53.87,5.57,2.12,2.84,6.626,17,10,3,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,13.66650462,-5.389292757000001,1760.5448609999999,93.14244665,-0.95,53.14,5.27,-8.55,2.78,7.365,43,10,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,20.78693171,35.651615299999996,2344.503577,96.88816983,-1.33,53.55,5.61,-3.77,9.34,6.9510000000000005,45,4,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,-3.62191538,24.94628442,2379.257948,83.15084518,-1.36,53.7,5.74,1.99,-2.21,6.797999999999999,14,10,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,17.33956412,18.51534989,2392.505652,91.28976732,-0.87,53.6,5.69,1.05,6.22,6.897,35,4,0,0,2,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,-8.232131413,36.97056155,2365.265653,97.57767478,-1.02,53.76,5.64,-4.47,9.89,6.742000000000001,25,4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,3.6129070010000004,30.57813931,2349.458978,95.56699532,-0.99,53.3,5.61,-2.94,8.83,7.2010000000000005,23,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,-10.72873785,50.60038248,2460.662401,95.0727776,-1.37,53.76,5.67,-2.72,11.6,6.74,40,5,2,1,1,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13,-1.294488366,20.31594574,2426.097786,96.87089115,-0.96,53.47,5.66,-5.17,10.45,7.025,25,4,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
